CATÁLOGO DE 2.000 TÉCNICAS Y METODOLOGÍAS
PARTE 2 — ENTRADAS 701 A 1350
Formato: TIPO, SECTOR, ENFOQUE > NÚMERO > NOMBRE > DESCRIPCIÓN
Nota: las entradas marcadas como APLICACIÓN METODOLÓGICA son adaptaciones sectoriales explícitas, no métodos canónicos nuevos.

TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 701 > Espectroscopía de absorción > Mide atenuación de radiación para identificar transiciones.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 846 > Optical Coherence Tomography > Obtiene secciones por interferometría.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 847 > Photoacoustic Imaging > Combina absorción óptica y ultrasonido.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 848 > Pump-Probe Spectroscopy > Estudia dinámica ultrarrápida.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 849 > Transient Absorption > Mide estados excitados transitorios.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 850 > Cavity Ring-Down Spectroscopy > Mide absorción por decaimiento en cavidad.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 851 > Terahertz Spectroscopy > Caracteriza materiales en terahercios.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 852 > Rutherford Backscattering > Obtiene composición y profundidad.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 853 > Particle-Induced X-Ray Emission > Analiza elementos por rayos X.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 854 > Accelerator Mass Spectrometry > Mide isótopos ultratraza.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 855 > Cloud Chamber > Visualiza trayectorias ionizantes.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 856 > Scintillation Detection > Convierte radiación en luz.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 857 > Semiconductor Radiation Detection > Mide radiación con pares de carga.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 858 > Geiger-Müller Counting > Cuenta eventos ionizantes.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 859 > Cherenkov Detection > Detecta luz de partículas rápidas.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 860 > Time Projection Chamber > Reconstruye trayectorias tridimensionales.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 861 > Coincidence Counting > Reduce fondo con detecciones correlacionadas.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 862 > Lock-In Amplification > Extrae señales débiles sincronizadas.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 863 > Boxcar Averaging > Promedia señales repetitivas en ventanas.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 864 > Chopper Modulation > Desplaza señales fuera del ruido de baja frecuencia.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 865 > Wheatstone Bridge > Mide pequeñas variaciones resistivas.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 866 > Kelvin Four-Wire Measurement > Elimina resistencia de cables.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 867 > Null Measurement > Compara hasta anular una diferencia.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 868 > Differential Measurement > Resta señales comunes.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 869 > Allan Variance > Caracteriza estabilidad de osciladores.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 870 > Power Spectral Density > Distribuye potencia por frecuencia.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 871 > Cross-Spectral Analysis > Estudia relación espectral entre señales.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 872 > Coherence Analysis > Cuantifica relación por frecuencia.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 873 > Wavelet Analysis > Descompone señales por tiempo y escala.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 874 > Short-Time Fourier Transform > Obtiene espectros locales.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 875 > Matched Filtering > Detecta formas conocidas en ruido.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 876 > Kalman Filtering > Estima estados combinando modelo y medidas.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 877 > Particle Filtering > Estima estados no lineales con partículas.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 878 > Wiener Filtering > Minimiza error usando estadísticas.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 879 > Savitzky-Golay Filtering > Suaviza con polinomios locales.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 880 > Baseline Correction > Elimina deriva o fondo.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 881 > Blank Subtraction > Resta la señal del blanco.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 882 > Standard Addition > Compensa efectos de matriz.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 883 > Internal Standard Calibration > Normaliza con una referencia interna.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 884 > External Calibration > Relaciona señal con patrones externos.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 885 > Isotope Dilution > Cuantifica con un isótopo enriquecido.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 886 > Spike Recovery > Evalúa exactitud mediante adición conocida.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 887 > Limit of Detection > Estima la menor señal distinguible.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 888 > Limit of Quantification > Estima la menor cantidad cuantificable.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 889 > Uncertainty Budget > Combina fuentes de incertidumbre.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 890 > Propagation of Uncertainty > Propaga incertidumbres de entrada.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 891 > Divide and Conquer > Divide un problema, resuelve partes y combina resultados.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 892 > Dynamic Programming > Reutiliza soluciones de subproblemas superpuestos.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 893 > Greedy Algorithm > Elige la mejor opción local en cada paso.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 894 > Backtracking > Explora y revierte ramas inviables.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 895 > Branch and Bound > Poda regiones mediante cotas.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 896 > Memoization > Almacena resultados para evitar recomputación.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 897 > Binary Search > Reduce a la mitad un espacio ordenado.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 898 > Depth-First Search > Explora profundamente antes de retroceder.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 899 > Breadth-First Search > Explora un grafo por niveles.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 900 > Bidirectional Search > Busca desde origen y objetivo.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 901 > Dijkstra Algorithm > Calcula caminos mínimos con pesos no negativos.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 902 > Bellman-Ford > Permite pesos negativos y detecta ciclos.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 903 > Floyd-Warshall > Calcula caminos entre todos los pares.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 904 > A* Search > Combina coste acumulado y heurística.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 905 > Topological Sort > Ordena dependencias acíclicas.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 906 > Tarjan SCC > Encuentra componentes fuertemente conexas.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 907 > Kruskal Algorithm > Construye un árbol de expansión mínimo.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 908 > Prim Algorithm > Hace crecer un árbol mínimo.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 909 > Union-Find > Mantiene conjuntos disjuntos eficientemente.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 910 > Ford-Fulkerson > Calcula flujo máximo.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 911 > Edmonds-Karp > Usa caminos aumentantes más cortos.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 912 > Dinic Algorithm > Usa niveles y flujos bloqueantes.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 913 > Hopcroft-Karp > Empareja grafos bipartitos.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 914 > Hungarian Algorithm > Resuelve asignación mínima.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 915 > PageRank > Calcula importancia en redes.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 916 > Bloom Filter > Comprueba pertenencia aproximada con poco espacio.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 917 > Count-Min Sketch > Estima frecuencias en flujos.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 918 > HyperLogLog > Estima cardinalidad.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 919 > Reservoir Sampling > Mantiene muestra uniforme de un flujo.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 920 > Consistent Hashing > Distribuye claves minimizando movimientos.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 921 > Merkle Tree > Resume datos mediante hashes jerárquicos.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 922 > Skip List > Mantiene orden con niveles probabilísticos.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 923 > B-Tree > Indexa grandes volúmenes.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 924 > B+ Tree > Optimiza rangos con datos en hojas.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 925 > LSM Tree > Optimiza escrituras mediante niveles.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 926 > Trie > Indexa cadenas por prefijos.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 927 > Suffix Tree > Representa todos los sufijos.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 928 > Suffix Array > Ordena sufijos con menor memoria.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 929 > Rabin-Karp > Busca patrones con hashes.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 930 > Knuth-Morris-Pratt > Usa prefijos para evitar recomparaciones.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 931 > Boyer-Moore > Salta usando información del patrón.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 932 > Aho-Corasick > Busca múltiples patrones simultáneamente.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 933 > Burrows-Wheeler Transform > Reordena texto para compresión.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 934 > Huffman Coding > Crea códigos según frecuencia.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 935 > Arithmetic Coding > Codifica mensajes como intervalos.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 936 > Lempel-Ziv-Welch > Comprime con diccionario incremental.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 937 > Run-Length Encoding > Comprime repeticiones consecutivas.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 938 > Reed-Solomon > Corrige errores con polinomios.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 939 > Hamming Code > Corrige errores simples.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 940 > LDPC > Corrige errores con matrices dispersas.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 941 > QuickSort > Ordena particionando alrededor de pivotes.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 942 > MergeSort > Ordena dividiendo y fusionando.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 943 > HeapSort > Ordena mediante un heap.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 944 > TimSort > Aprovecha secuencias ya ordenadas.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 945 > Radix Sort > Ordena por dígitos.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 946 > Counting Sort > Ordena contando frecuencias.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 947 > External Merge Sort > Ordena datos mayores que memoria.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 948 > MapReduce > Distribuye transformación y agregación.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 949 > Actor Model > Modela concurrencia mediante actores y mensajes.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 950 > Communicating Sequential Processes > Coordina procesos por canales.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 951 > Fork-Join > Divide tareas paralelas y combina resultados.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 952 > Work Stealing > Equilibra carga tomando tareas ajenas.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 953 > SIMD Vectorization > Ejecuta una operación sobre múltiples datos.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 954 > GPU Computing > Paraleliza operaciones masivas.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 955 > Pipeline Parallelism > Solapa etapas.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 956 > Data Parallelism > Replica operaciones sobre particiones.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 957 > Model Parallelism > Distribuye un modelo entre dispositivos.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 958 > Thread Pool > Reutiliza un conjunto de hilos.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 959 > Event Loop > Gestiona eventos asíncronos.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 960 > Reactive Programming > Propaga cambios mediante flujos.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 961 > Lock-Free Programming > Coordina sin bloqueos.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 962 > Compare-and-Swap > Actualiza memoria condicionalmente.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 963 > Read-Copy-Update > Permite lecturas concurrentes.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 964 > Transactional Memory > Agrupa accesos de memoria atómicamente.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 965 > Two-Phase Locking > Serializa mediante fases de bloqueo.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 966 > Optimistic Concurrency Control > Valida conflictos al confirmar.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 967 > MVCC > Mantiene múltiples versiones.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 968 > Two-Phase Commit > Coordina confirmación distribuida.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 969 > Paxos > Logra consenso mediante propuestas y mayorías.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 970 > Raft > Separa elección de líder y replicación.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 971 > PBFT > Tolera fallos bizantinos.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 972 > Gossip Protocol > Difunde información epidémicamente.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 973 > Vector Clocks > Representa causalidad parcial.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 974 > Lamport Clocks > Ordena eventos causalmente.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 975 > CRDT > Permite réplicas concurrentes convergentes.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 976 > Event Sourcing > Persiste cambios como eventos.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 977 > CQRS > Separa escritura y lectura.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 978 > Saga Pattern > Coordina transacciones con compensaciones.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 979 > Outbox Pattern > Publica eventos consistentemente.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 980 > Circuit Breaker > Detiene llamadas a dependencias degradadas.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 981 > Bulkhead Pattern > Aísla recursos y fallos.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 982 > Exponential Backoff > Espacia reintentos progresivamente.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 983 > Idempotency Key > Evita duplicar efectos.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 984 > Rate Limiting > Controla frecuencia de solicitudes.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 985 > Token Bucket > Permite ráfagas limitadas.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 986 > Leaky Bucket > Suaviza tráfico.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 987 > Load Shedding > Descarta trabajo durante sobrecarga.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 988 > Backpressure > Regula productores desde consumidores.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 989 > Cache-Aside > Carga datos en caché bajo demanda.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 990 > Write-Through Cache > Escribe en caché y almacenamiento.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 991 > Write-Back Cache > Difiere escrituras persistentes.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 992 > Cache Invalidation > Renueva datos obsoletos.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 993 > Sharding > Divide datos horizontalmente.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 994 > Replication > Mantiene copias para disponibilidad.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 995 > Quorum Reads and Writes > Usa mayorías para controlar consistencia.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 996 > Chandy-Lamport Snapshot > Captura un estado distribuido coherente.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 997 > CAP Analysis > Evalúa consistencia, disponibilidad y particiones.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 998 > PACELC Analysis > Añade el compromiso latencia-consistencia.
TÉCNICA, COMPUTACIÓN, SOFTWARE E IA, ALGORITMOS, ARQUITECTURA Y SEGURIDAD > 999 > Database Normalization > Reduce redundancia y anomalías.
